keyword,cluster,intent,funnel,target_page,volume_band_directional,difficulty_directional,priority,serp_opportunity,secondary_terms,recommended_page_action,status
how to plan an OOH campaign,Planning education,Informational,Top,/blog/plan-nationwide-ooh-campaign-lebanon,Medium,High,P2,Featured snippet and PAA,"outdoor media plan; billboard campaign strategy","Add downloadable planning checklist",Implemented
billboard traffic estimates,Measurement,Informational,Top,/blog/billboard-traffic-reach-estimates,Low-Medium,Medium,P1,Featured snippet,"billboard impressions; billboard reach measurement","Define traffic reach frequency and limitations",Implemented
billboard impressions explained,Measurement,Informational,Top,/blog/billboard-traffic-reach-estimates,Low-Medium,Medium,P2,PAA,"OOH impressions; measure outdoor advertising","Add worked example using monthly traffic",Implemented
billboard creative guidelines,Creative,Informational,Top,/guides,Low-Medium,Medium,P1,Image and featured snippet,"outdoor ad design tips; billboard file specifications","Publish format-specific creative guide",Planned
billboard design size Lebanon,Creative,Informational,Top,/guides,Low,Low-Medium,P2,Image results,"billboard artwork dimensions; LED screen resolution","Build specification tables from verified inventory",Planned
best billboard locations Beirut,Local planning,Commercial investigation,Middle,/billboards,Low,Medium,P2,Local pack and images,"high traffic billboards Beirut; Beirut billboard map","Create evidence-led location guide and avoid unsupported rankings",Planned
billboards Jounieh,Local inventory,Transactional,Bottom,/billboards,Low,Low,P2,Local pack and images,"Jounieh highway billboard; outdoor advertising Jounieh","Create city page when at least three active listings exist",Planned
billboards Tripoli Lebanon,Local inventory,Transactional,Bottom,/billboards,Low,Low,P2,Local pack and images,"Tripoli outdoor advertising; billboard rental Tripoli","Create city page when inventory depth supports unique content",Planned
billboards Saida Lebanon,Local inventory,Transactional,Bottom,/billboards,Low,Low,P3,Local pack and images,"Saida billboard advertising; South Lebanon outdoor ads","Create city page when inventory depth supports unique content",Planned
billboards Zahle Lebanon,Local inventory,Transactional,Bottom,/billboards,Low,Low,P3,Local pack and images,"Zahle billboard advertising; Bekaa outdoor media","Create city page when inventory depth supports unique content",Planned
billboard reservation Lebanon,Booking,Transactional,Bottom,/billboards,Low,Low-Medium,P2,PAA,"reserve billboard online; billboard booking Lebanon","Explain pending approval and conflict validation clearly",Implemented
Lebanon outdoor advertising case study,Proof,Commercial investigation,Middle,/case-studies,Low,Medium,P2,Image and video results,"OOH campaign examples Lebanon; billboard campaign results","Replace placeholder stories with verified client evidence",Planned
billboard media owner platform,Partnership,Commercial,Middle,/partners,Low,Medium,P3,PAA,"list billboard inventory Lebanon; OOH inventory management","Add partner requirements and onboarding process",Implemented
digital out of home Lebanon,Formats,Commercial,Middle,/billboards?type=digital,Low-Medium,High,P2,News and video results,"DOOH Lebanon; programmatic OOH Lebanon","Publish accurate DOOH guide without claiming programmatic capability",Planned
